"Indicator NO.",Grading,Domain,Taiwan,Australia,"New Zealand",Indonesia,Singapore,Georgia,Kyrgyzstan,Kazakhstan,Armenia,Tajikistan,Ethiopia,Kenya,Brazil,Bolívia,Argentina,Uruguay,Paraguay,Chile,Colombia,Mexico,Peru,Venezuela,"South Korea",Japan,Vietnam,"United States",Canada,Philippines,Thailand,Cambodia,Malaysia,Germany,Estonia,"Czech Republic","Bosnia and Herzegovina",Poland
1,1,Media,1,2,3,2,0,0,1,0,0,3,0,3,1,0,0,0,0,1,1,3,3,1,0,1,0,1,4,0,3,3,1,4,0,3,0,1
2,1,Media,3,1,1,1,0,0,2,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,1,1,1,3,4,1,1,0,0,1,0
3,1,Media,4,4,3,4,3,4,3,3,0,3,0,3,na,na,3,0,0,3,1,3,4,3,4,0,0,0,4,na,2,3,2,3,0,0,0,0
4,1,Media,2,3,1,0,4,4,1,3,0,0,0,3,0,3,1,1,0,na,0,0,4,3,4,na,0,1,0,4,3,4,3,1,0,0,0,0
5,1,Media,4,3,3,1,4,0,2,0,0,0,0,3,1,1,3,0,0,3,1,3,4,3,2,1,0,2,4,3,3,3,3,3,1,1,4,1
6,1,Media,3,2,3,1,0,3,1,na,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,2,1,1,1,0,3,3,1,3,0,3,0,1
7,1,Media,3,4,3,1,3,2,1,4,0,0,0,3,0,0,3,1,0,3,1,1,4,3,0,3,0,3,4,3,1,3,2,4,0,1,1,0
8,1,Media,4,2,3,2,na,3,3,3,0,1,0,0,0,0,1,0,0,4,0,1,4,0,1,1,0,3,4,3,0,0,0,3,2,0,1,3
9,0,Media,4,4,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,0,0,0
10,1,Media,4,3,3,3,0,0,0,0,0,0,na,0,0,0,0,1,0,0,0,0,4,0,1,0,na,3,4,3,2,3,2,1,0,0,0,na
