Indicator NO.,Grading,Domain,Country,Score,Region,Layer
1,1,Media,Taiwan,1,East Asia,exposure
1,1,Media,Australia,2,Pacific,exposure
1,1,Media,New Zealand,3,Pacific,exposure
1,1,Media,Indonesia,2,Southeast & South Asia,exposure
1,1,Media,Singapore,0,Southeast & South Asia,exposure
1,1,Media,Georgia,0,Central Asia & South Caucasus,exposure
1,1,Media,Kyrgyzstan,1,Central Asia & South Caucasus,exposure
1,1,Media,Kazakhstan,0,Central Asia & South Caucasus,exposure
1,1,Media,Armenia,0,Central Asia & South Caucasus,exposure
1,1,Media,Tajikistan,3,Central Asia & South Caucasus,exposure
1,1,Media,Ethiopia,0,Africa,exposure
1,1,Media,Kenya,3,Africa,exposure
1,1,Media,Brazil,1,Latin America,exposure
1,1,Media,Bolívia,0,Latin America,exposure
1,1,Media,Argentina,0,Latin America,exposure
1,1,Media,Uruguay,0,Latin America,exposure
1,1,Media,Paraguay,0,Latin America,exposure
1,1,Media,Chile,1,Latin America,exposure
1,1,Media,Colombia,1,Latin America,exposure
1,1,Media,Mexico,3,Latin America,exposure
1,1,Media,Peru,3,Latin America,exposure
1,1,Media,Venezuela,1,Latin America,exposure
1,1,Media,South Korea,0,East Asia,exposure
1,1,Media,Japan,1,East Asia,exposure
1,1,Media,Vietnam,0,Southeast & South Asia,exposure
1,1,Media,United States,1,North America,exposure
1,1,Media,Canada,4,North America,exposure
1,1,Media,Philippines,0,Southeast & South Asia,exposure
1,1,Media,Thailand,3,Southeast & South Asia,exposure
1,1,Media,Cambodia,3,Southeast & South Asia,exposure
1,1,Media,Malaysia,1,Southeast & South Asia,exposure
1,1,Media,Germany,4,Europe,exposure
1,1,Media,Estonia,0,Europe,exposure
1,1,Media,Czech Republic,3,Europe,exposure
1,1,Media,Bosnia and Herzegovina,0,Europe,exposure
1,1,Media,Poland,1,Europe,exposure
2,1,Media,Taiwan,3,East Asia,exposure
2,1,Media,Australia,1,Pacific,exposure
2,1,Media,New Zealand,1,Pacific,exposure
2,1,Media,Indonesia,1,Southeast & South Asia,exposure
2,1,Media,Singapore,0,Southeast & South Asia,exposure
2,1,Media,Georgia,0,Central Asia & South Caucasus,exposure
2,1,Media,Kyrgyzstan,2,Central Asia & South Caucasus,exposure
2,1,Media,Kazakhstan,3,Central Asia & South Caucasus,exposure
2,1,Media,Armenia,0,Central Asia & South Caucasus,exposure
2,1,Media,Tajikistan,3,Central Asia & South Caucasus,exposure
2,1,Media,Ethiopia,0,Africa,exposure
2,1,Media,Kenya,3,Africa,exposure
2,1,Media,Brazil,0,Latin America,exposure
2,1,Media,Bolívia,0,Latin America,exposure
2,1,Media,Argentina,3,Latin America,exposure
2,1,Media,Uruguay,0,Latin America,exposure
2,1,Media,Paraguay,0,Latin America,exposure
2,1,Media,Chile,0,Latin America,exposure
2,1,Media,Colombia,0,Latin America,exposure
2,1,Media,Mexico,0,Latin America,exposure
2,1,Media,Peru,0,Latin America,exposure
2,1,Media,Venezuela,0,Latin America,exposure
2,1,Media,South Korea,3,East Asia,exposure
2,1,Media,Japan,1,East Asia,exposure
2,1,Media,Vietnam,0,Southeast & South Asia,exposure
2,1,Media,United States,1,North America,exposure
2,1,Media,Canada,1,North America,exposure
2,1,Media,Philippines,1,Southeast & South Asia,exposure
2,1,Media,Thailand,3,Southeast & South Asia,exposure
2,1,Media,Cambodia,4,Southeast & South Asia,exposure
2,1,Media,Malaysia,1,Southeast & South Asia,exposure
2,1,Media,Germany,1,Europe,exposure
2,1,Media,Estonia,0,Europe,exposure
2,1,Media,Czech Republic,0,Europe,exposure
2,1,Media,Bosnia and Herzegovina,1,Europe,exposure
2,1,Media,Poland,0,Europe,exposure
3,1,Media,Taiwan,4,East Asia,exposure
3,1,Media,Australia,4,Pacific,exposure
3,1,Media,New Zealand,3,Pacific,exposure
3,1,Media,Indonesia,4,Southeast & South Asia,exposure
3,1,Media,Singapore,3,Southeast & South Asia,exposure
3,1,Media,Georgia,4,Central Asia & South Caucasus,exposure
3,1,Media,Kyrgyzstan,3,Central Asia & South Caucasus,exposure
3,1,Media,Kazakhstan,3,Central Asia & South Caucasus,exposure
3,1,Media,Armenia,0,Central Asia & South Caucasus,exposure
3,1,Media,Tajikistan,3,Central Asia & South Caucasus,exposure
3,1,Media,Ethiopia,0,Africa,exposure
3,1,Media,Kenya,3,Africa,exposure
3,1,Media,Brazil,,Latin America,exposure
3,1,Media,Bolívia,,Latin America,exposure
3,1,Media,Argentina,3,Latin America,exposure
3,1,Media,Uruguay,0,Latin America,exposure
